date,tank,probe,value_mean,value_sd,n,n_hours,day,treatment
2025-06-08,3,Temp3,28.07523148148148,0.17475439407188526,144,24,4,28C
2025-06-08,4,Temp4,30.584104938271604,0.3333324340256653,144,24,4,31C
2025-06-08,5,Temp5,30.692901234567902,0.27912992153959115,144,24,4,31C
2025-06-08,6,Temp6,27.614197530864196,0.3143917507127799,144,24,4,28C
2025-06-08,9,Temp9,27.484953703703702,0.2914816077728763,144,24,4,28C
2025-06-08,10,Temp10,31.042824074074073,0.18239899299171752,144,24,4,31C
2025-06-08,11,Temp11,30.594135802469136,0.27439885696216,144,24,4,31C
2025-06-08,12,Temp12,27.752314814814813,0.27695098399388407,144,24,4,28C
2025-06-09,3,Temp3,28.07253086419753,0.16869751786237686,144,24,5,28C
2025-06-09,4,Temp4,30.92939814814815,0.16996461866019325,144,24,5,31C
2025-06-09,5,Temp5,31.07175925925926,0.16145369893759104,144,24,5,31C
2025-06-09,6,Temp6,27.665123456790123,0.33757623703330714,144,24,5,28C
2025-06-09,9,Temp9,27.47685185185185,0.3437569899927393,144,24,5,28C
2025-06-09,10,Temp10,30.82253086419753,0.3409691193260974,144,24,5,31C
2025-06-09,11,Temp11,30.563271604938272,0.3413697840997243,144,24,5,31C
2025-06-09,12,Temp12,27.673996913580247,0.3038819410998983,144,24,5,28C
2025-06-10,3,Temp3,28.083333333333332,0.1715799991443142,144,24,6,28C
2025-06-10,4,Temp4,30.92013888888889,0.17078804176587406,144,24,6,31C
2025-06-10,5,Temp5,30.792052469135804,0.32158435160763454,144,24,6,31C
2025-06-10,6,Temp6,27.647376543209877,0.31736685933932784,144,24,6,28C
2025-06-10,9,Temp9,27.60648148148148,0.301045689713661,144,24,6,28C
2025-06-10,10,Temp10,31.129243827160494,0.153075729962249,144,24,6,31C
2025-06-10,11,Temp11,30.68634259259259,0.27723091079214923,144,24,6,31C
2025-06-10,12,Temp12,27.79398148148148,0.30576739142747744,144,24,6,28C
2025-06-11,3,Temp3,28.082175925925924,0.1759237959766924,144,24,7,28C
2025-06-11,4,Temp4,30.948688271604937,0.15892127797729164,144,24,7,31C
2025-06-11,5,Temp5,30.875385802469136,0.3341899461862883,144,24,7,31C
2025-06-11,6,Temp6,27.349151234567902,0.18156218638530613,144,24,7,28C
2025-06-11,9,Temp9,27.524691358024693,0.2388656480064442,144,24,7,28C
2025-06-11,10,Temp10,31.009645061728396,0.2102782677507263,144,24,7,31C
2025-06-11,11,Temp11,30.532793209876544,0.2651287231769222,144,24,7,31C
2025-06-11,12,Temp12,27.585262345679013,0.16865086619987052,144,24,7,28C
2025-06-12,3,Temp3,28.07908950617284,0.1734043273403439,144,24,8,28C
2025-06-12,4,Temp4,30.801697530864196,0.2927697000855303,144,24,8,31C
2025-06-12,5,Temp5,30.925154320987655,0.31757081656916897,144,24,8,31C
2025-06-12,6,Temp6,27.395061728395063,0.21209551609468488,144,24,8,28C
2025-06-12,9,Temp9,27.476466049382715,0.2753648001537886,144,24,8,28C
2025-06-12,10,Temp10,30.674382716049383,0.34850299054283196,144,24,8,31C
2025-06-12,11,Temp11,30.37962962962963,0.17884778999622,144,24,8,31C
2025-06-12,12,Temp12,27.602623456790123,0.2048702792590555,144,24,8,28C
2025-06-13,3,Temp3,28.089506172839506,0.17433920965689254,144,24,9,28C
2025-06-13,4,Temp4,30.50655864197531,0.227832874472114,144,24,9,31C
2025-06-13,5,Temp5,30.42091049382716,0.20117713043534724,144,24,9,31C
2025-06-13,6,Temp6,27.57793209876543,0.310630626054865,144,24,9,28C
2025-06-13,9,Temp9,27.530864197530864,0.3050538211505871,144,24,9,28C
2025-06-13,10,Temp10,30.50810185185185,0.5311650087414139,144,24,9,31C
2025-06-13,11,Temp11,30.53125,0.2715874932100145,144,24,9,31C
2025-06-13,12,Temp12,27.711805555555557,0.3039332329373403,144,24,9,28C
2025-06-14,3,Temp3,28.094521604938272,0.17495326408293843,144,24,10,28C
2025-06-14,4,Temp4,30.53317901234568,0.28070097044996734,144,24,10,31C
2025-06-14,5,Temp5,30.803626543209877,0.28342459295143235,144,24,10,31C
2025-06-14,6,Temp6,27.586805555555557,0.3404902964480907,144,24,10,28C
2025-06-14,9,Temp9,27.57908950617284,0.3134155317900797,144,24,10,28C
2025-06-14,10,Temp10,30.945987654320987,0.2718437218038964,144,24,10,31C
2025-06-14,11,Temp11,30.584104938271604,0.3636787035170318,144,24,10,31C
2025-06-14,12,Temp12,27.804783950617285,0.3030098880861077,144,24,10,28C
2025-06-15,3,Temp3,28.088348765432098,0.17695677685210653,144,24,11,28C
2025-06-15,4,Temp4,30.581404320987655,0.3330686072891727,144,24,11,31C
2025-06-15,5,Temp5,31.056712962962962,0.16378877007219167,144,24,11,31C
2025-06-15,6,Temp6,27.70216049382716,0.3139681165430779,144,24,11,28C
2025-06-15,9,Temp9,27.623070987654323,0.3096454538777518,144,24,11,28C
2025-06-15,10,Temp10,31.127314814814817,0.2863008664584388,144,24,11,31C
2025-06-15,11,Temp11,30.699074074074073,0.2988871124691938,144,24,11,31C
2025-06-15,12,Temp12,27.849151234567902,0.2510156520399532,144,24,11,28C
2025-06-16,3,Temp3,28.069444444444443,0.17854583504509045,144,24,12,28C
2025-06-16,4,Temp4,30.891975308641975,0.17748832518275584,144,24,12,31C
2025-06-16,5,Temp5,31.104166666666668,0.15930043798840052,144,24,12,31C
2025-06-16,6,Temp6,27.750385802469136,0.25648765253254735,144,24,12,28C
2025-06-16,9,Temp9,27.64351851851852,0.252116997105802,144,24,12,28C
2025-06-16,10,Temp10,31.190586419753085,0.11162522430405854,144,24,12,31C
2025-06-16,11,Temp11,30.924382716049383,0.1624845819276475,144,24,12,31C
2025-06-16,12,Temp12,28.069830246913583,0.11581841475479061,144,24,12,28C
2025-06-17,3,Temp3,28.06712962962963,0.17281772873744058,144,24,13,28C
2025-06-17,4,Temp4,30.899305555555557,0.17604643904573042,144,24,13,31C
2025-06-17,5,Temp5,31.097608024691358,0.1531344678136592,144,24,13,31C
2025-06-17,6,Temp6,27.83179012345679,0.17094286883824555,144,24,13,28C
2025-06-17,9,Temp9,27.772376543209877,0.165212438939491,144,24,13,28C
2025-06-17,10,Temp10,31.19868827160494,0.10887014829911834,144,24,13,31C
2025-06-17,11,Temp11,30.931712962962962,0.161699986153016,144,24,13,31C
2025-06-17,12,Temp12,28.06365740740741,0.13528243052839362,144,24,13,28C
2025-06-18,3,Temp3,28.089506172839506,0.17655356354599736,144,24,14,28C
2025-06-18,4,Temp4,30.88773148148148,0.18094363887391487,144,24,14,31C
2025-06-18,5,Temp5,31.060185185185187,0.13960576452915385,144,24,14,31C
2025-06-18,6,Temp6,27.73804012345679,0.28868733588531903,144,24,14,28C
2025-06-18,9,Temp9,27.666666666666668,0.30795659029143657,144,24,14,28C
2025-06-18,10,Temp10,31.199845679012345,0.10142714777604998,144,24,14,31C
2025-06-18,11,Temp11,30.932098765432098,0.16418042557015544,144,24,14,31C
2025-06-18,12,Temp12,27.905478395061728,0.24060341898644796,144,24,14,28C
2025-06-19,3,Temp3,28.074074074074073,0.17469649066938192,144,24,15,28C
2025-06-19,4,Temp4,30.684413580246915,0.2785655323967712,144,24,15,31C
2025-06-19,5,Temp5,31.10841049382716,0.15328708089146137,144,24,15,31C
2025-06-19,6,Temp6,27.868827160493826,0.17026814720964378,144,24,15,28C
2025-06-19,9,Temp9,27.655864197530864,0.31606922866227344,144,24,15,28C
2025-06-19,10,Temp10,31.197145061728396,0.10772418766985498,144,24,15,31C
2025-06-19,11,Temp11,30.93479938271605,0.15731739812682322,144,24,15,31C
2025-06-19,12,Temp12,27.7920524691358,0.2693553371812753,144,24,15,28C
2025-06-20,3,Temp3,25.711805555555557,2.7095742579787307,144,24,16,28C
2025-06-20,4,Temp4,27.13503086419753,3.658113524760445,144,24,16,31C
2025-06-20,5,Temp5,27.15162037037037,4.369443999879452,144,24,16,31C
2025-06-20,6,Temp6,25.06134259259259,2.8009886418154286,144,24,16,28C
2025-06-20,9,Temp9,25.371913580246915,2.3515336882805014,144,24,16,28C
2025-06-20,10,Temp10,27.32831790123457,4.3336018544622386,144,24,16,31C
2025-06-20,11,Temp11,27.077932098765434,4.30687096453516,144,24,16,31C
2025-06-20,12,Temp12,25.24382716049383,2.595920460087198,144,24,16,28C
