model,id,treatment,thicket,pct_growth,event_status,cooks_distance,cooks_threshold,flagged
lm_growth_by_new_corallites_all_wounded,146,28C,d,6.924959191475062,yes,0.02146132327093098,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,179,28C,a,7.541791207911265,yes,0.04851501180656063,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,118,28C,d,8.178484581362065,yes,0.12994942088623201,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,144,28C,d,7.376476741352455,yes,0.049985769141973654,0.16666666666666666,FALSE
lm_growth_by_new_corallites_heated_wounded,175,31C,a,2.668216197914724,no,0.5083704938786998,0.3333333333333333,TRUE
lm_growth_by_new_corallites_heated_wounded,149,31C,d,3.4057234862932484,yes,0.12502212381905853,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,143,31C,d,3.453773772224109,no,2.7930436945291804e-4,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,115,31C,c,4.489527323353529,yes,0.014229639627264909,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,174,31C,a,3.6010396776230116,no,2.648010696285973e-4,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,110,31C,d,3.4129230353156794,no,0.0026633046431759977,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,126,31C,d,3.4036166126762666,no,0.003547010901139709,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,170,31C,a,3.8549361153135693,no,0.03005480442235194,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,119,31C,c,4.640235101543025,yes,8.92448861959295e-5,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,116,31C,c,4.996196180964925,no,0.12502212381905844,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,133,31C,c,4.608062117059705,yes,3.252721142308028e-4,0.3333333333333333,FALSE
lm_growth_by_new_corallites_heated_wounded,152,31C,a,4.367114404199804,no,0.3090365303086772,0.3333333333333333,FALSE
lm_growth_by_tip_extension_all_wounded,129,28C,c,2.771803270813767,yes,0.2869300116663198,0.16666666666666666,TRUE
lm_growth_by_tip_extension_all_wounded,175,31C,a,2.668216197914724,no,0.028927774403973743,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,149,31C,d,3.4057234862932484,yes,0.03596079680118243,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,121,28C,c,4.648325454303104,no,2.070662083740024e-6,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,143,31C,d,3.453773772224109,no,0.006241122383107351,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,115,31C,c,4.489527323353529,yes,0.010673334846716485,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,174,31C,a,3.6010396776230116,yes,0.017876001404578852,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,113,28C,d,3.761862441568305,yes,0.20086649476193758,0.16666666666666666,TRUE
lm_growth_by_tip_extension_all_wounded,110,31C,d,3.4129230353156794,yes,0.03540955113915317,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,126,31C,d,3.4036166126762666,no,0.004152436662435412,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,170,31C,a,3.8549361153135693,yes,0.007467678877372104,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,119,31C,c,4.640235101543025,yes,0.01726057478456414,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,116,31C,c,4.996196180964925,yes,0.03907475746540443,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,133,31C,c,4.608062117059705,yes,0.01572206041493439,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,117,28C,c,5.0948772445448745,yes,0.015939662337139778,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,152,31C,a,4.367114404199804,yes,8.049437837427995e-5,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,130,28C,c,6.575445735984332,yes,0.018137377582589806,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,172,28C,a,5.851091397541983,yes,0.0036820685686693054,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,177,28C,a,6.278958365877883,yes,2.1682358950928516e-4,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,166,28C,a,6.734446431734614,yes,0.00902456429933449,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,146,28C,d,6.924959191475062,yes,0.01664705540617296,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,179,28C,a,7.541791207911265,yes,0.05630171482553605,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,118,28C,d,8.178484581362065,yes,0.12799789023224867,0.16666666666666666,FALSE
lm_growth_by_tip_extension_all_wounded,144,28C,d,7.376476741352455,yes,0.044697064944046655,0.16666666666666666,FALSE
lm_growth_by_tip_extension_heated_wounded,175,31C,a,2.668216197914724,no,1.6388392003722223,0.3333333333333333,TRUE
lm_growth_by_tip_extension_heated_wounded,149,31C,d,3.4057234862932484,yes,0.14402336312404748,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,143,31C,d,3.453773772224109,no,0.16692479895367365,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,115,31C,c,4.489527323353529,yes,0.028724088884107213,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,174,31C,a,3.6010396776230116,yes,0.023225877622617318,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,110,31C,d,3.4129230353156794,yes,0.1367249102208158,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,126,31C,d,3.4036166126762666,no,0.11607860489634099,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,170,31C,a,3.8549361153135693,yes,0.009332981583810535,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,119,31C,c,4.640235101543025,yes,0.0014292800309813752,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,116,31C,c,4.996196180964925,yes,0.07464018540091716,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,133,31C,c,4.608062117059705,yes,0.004344907937804431,0.3333333333333333,FALSE
lm_growth_by_tip_extension_heated_wounded,152,31C,a,4.367114404199804,yes,0.358709740997099,0.3333333333333333,TRUE
