description,domain,response,model_type,term,test,statistic,df1,df2,n,estimate,units,pct_change,ci_low,ci_high,p_value,qualitative,source_script,source_artifact
"Confirmatory / exploratory testing: exploratory — morph:polyps_out : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:polyps_out : treatment,reported p,0.7401,NA,NA,NA,0.7401,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.573,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — survival_interval:axial_polyp_formation : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:axial_polyp_formation : 31C vs 28C,reported p,0.7401,NA,NA,NA,0.7401,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.4545,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — survival_interval:pigment_over_wound : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:pigment_over_wound : 31C vs 28C,reported p,0.7401,NA,NA,NA,0.7401,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.7401,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — survival_interval:wound_smoothed : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:wound_smoothed : 31C vs 28C,reported p,0.1121,NA,NA,NA,0.1121,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.0224,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Genet resilience: Composite heat sensitivity across responses — genet=a [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=a,mean standardized sensitivity,0.5649,NA,NA,9,0.5649,standardized sensitivity,NA,1,3.7098,NA,"Genet a: mean sensitivity 0.56, median 1.00, PCA displacement 3.71, rank 3",code/19_genet_dashboard.R,output/tables/19_genet_resilience_summary.csv
"Genet resilience: Composite heat sensitivity across responses — genet=c [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=c,mean standardized sensitivity,0.0069,NA,NA,10,0.0069,standardized sensitivity,NA,0.0998,1.0223,NA,"Genet c: mean sensitivity 0.01, median 0.10, PCA displacement 1.02, rank 1",code/19_genet_dashboard.R,output/tables/19_genet_resilience_summary.csv
"Genet resilience: Composite heat sensitivity across responses — genet=d [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=d,mean standardized sensitivity,0.4295,NA,NA,10,0.4295,standardized sensitivity,NA,0.879,3.3817,NA,"Genet d: mean sensitivity 0.43, median 0.88, PCA displacement 3.38, rank 2",code/19_genet_dashboard.R,output/tables/19_genet_resilience_summary.csv
"Genet resilience: Composite heat sensitivity by scope — genet=a; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=a; heat only (unwounded),mean standardized sensitivity,0.988,NA,NA,4,0.988,standardized sensitivity,NA,NA,NA,NA,"Genet a, heat only (unwounded): mean sensitivity 0.99 across 4 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Genet resilience: Composite heat sensitivity by scope — genet=a; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=a; heat while wounded,mean standardized sensitivity,0.5603,NA,NA,9,0.5603,standardized sensitivity,NA,NA,NA,NA,"Genet a, heat while wounded: mean sensitivity 0.56 across 9 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Genet resilience: Composite heat sensitivity by scope — genet=c; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=c; heat only (unwounded),mean standardized sensitivity,0.428,NA,NA,4,0.428,standardized sensitivity,NA,NA,NA,NA,"Genet c, heat only (unwounded): mean sensitivity 0.43 across 4 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Genet resilience: Composite heat sensitivity by scope — genet=c; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=c; heat while wounded,mean standardized sensitivity,-0.0459,NA,NA,10,-0.0459,standardized sensitivity,NA,NA,NA,NA,"Genet c, heat while wounded: mean sensitivity -0.05 across 10 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Genet resilience: Composite heat sensitivity by scope — genet=d; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=d; heat only (unwounded),mean standardized sensitivity,0.8994,NA,NA,4,0.8994,standardized sensitivity,NA,NA,NA,NA,"Genet d, heat only (unwounded): mean sensitivity 0.90 across 4 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Genet resilience: Composite heat sensitivity by scope — genet=d; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=d; heat while wounded,mean standardized sensitivity,0.4379,NA,NA,10,0.4379,standardized sensitivity,NA,NA,NA,NA,"Genet d, heat while wounded: mean sensitivity 0.44 across 10 responses",code/19_genet_dashboard.R,output/tables/19c_resilience_decomp_by_scope.csv
"Healing milestone lag: axial_polyp_formation -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,axial_polyp_formation -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),9,NA,NA,12,9,days,0,8,9,NA,28C: 0% closed but never regenerated; median lag 9 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: axial_polyp_formation -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,axial_polyp_formation -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),11,NA,NA,4,11,days,66.7,10.5,11,NA,31C: 67% closed but never regenerated; median lag 11 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),8,NA,NA,12,8,days,0,7.5,8.25,NA,28C: 0% closed but never regenerated; median lag 8 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),10,NA,NA,4,10,days,66.7,9.5,10,NA,31C: 67% closed but never regenerated; median lag 10 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> tip_extension — 28C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"28C (n closed=12, reached both=11)",median lag (days),4,NA,NA,11,4,days,8.3,3,4,NA,28C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> tip_extension — 31C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"31C (n closed=12, reached both=11)",median lag (days),4,NA,NA,11,4,days,8.3,4,5,NA,31C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Microscope morphology: Axial polyp formation — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Axial polyp formation,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Axial polyp formation — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Axial polyp formation,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,1,1,NA,16,NA,NA,NA,NA,NA,0.3173,Microscope first-observed timing for axial_polyp_formation (exploratory log-rank p=0.317),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: New corallites on tip — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,New corallites on tip,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,-0.75,proportion difference,NA,NA,NA,0.007,Microscope endpoint: 8/8 at 28C vs 2/8 at 31C (risk diff=-0.75; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: New corallites on tip — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,New corallites on tip,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,11.449,1,NA,16,NA,NA,NA,NA,NA,7e-4,Microscope first-observed timing for new_corallites_on_tip (exploratory log-rank p=<0.001),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Pigment over wound — endpoint D7: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Pigment over wound,photo-only endpoint Fisher exact,endpoint D7: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 2/8 at 28C vs 2/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Pigment over wound — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Pigment over wound,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0.0206,1,NA,16,NA,NA,NA,NA,NA,0.8858,Microscope first-observed timing for pigment_over_wound (exploratory log-rank p=0.886),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tip exists — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tip exists,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tip exists — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tip exists,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0.1466,1,NA,16,NA,NA,NA,NA,NA,0.7018,Microscope first-observed timing for tip_exist (exploratory log-rank p=0.702),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tip extension — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tip extension,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tip extension — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tip extension,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,2.0709,1,NA,16,NA,NA,NA,NA,NA,0.1501,Microscope first-observed timing for tip_extension (exploratory log-rank p=0.150),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tissue over wound — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tissue over wound,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Tissue over wound — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tissue over wound,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,2.1429,1,NA,16,NA,NA,NA,NA,NA,0.1432,Microscope first-observed timing for tissue_over_wound (exploratory log-rank p=0.143),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Wound smoothed — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Wound smoothed,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,NA,16,0,proportion difference,NA,NA,NA,1,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Microscope morphology: Wound smoothed — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Wound smoothed,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0,1,NA,16,NA,NA,NA,NA,NA,1,Microscope first-observed timing for wound_smoothed (exploratory log-rank p=1.000),code/11_microscope_physio.R,output/tables/11_microscope_event_tests.csv
"Morphology: Hole in center — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Hole in center,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0,NA,NA,NA,0,probability,0,NA,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/sensitivity/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: New corallites on tip — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,New corallites on tip,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0,NA,NA,NA,0,probability,0,NA,NA,NA,P(28C)=0.00 vs P(31C)=0.00; OR(31vs28)=NA,code/sensitivity/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Pigment over wound — day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day_z,Wald chi-sq,0.0813,1,NA,NA,NA,NA,NA,NA,NA,0.7755,day_z effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day_z:thicket,Wald chi-sq,4.7116,2,NA,NA,NA,NA,NA,NA,NA,0.0948,day_z:thicket effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — fixed: day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z,Wald z,-0.302,NA,NA,NA,-0.2461,log-odds,-21.8169,-1.8432,1.351,0.7626,"fixed: day_z: OR=0.78 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket2,Wald z,2.1681,NA,NA,NA,3.3046,log-odds,2623.7476,0.3172,6.292,0.0301,"fixed: day_z:thicket2: OR=27.24 (sig, blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket3,Wald z,-0.9824,NA,NA,NA,-1.072,log-odds,-65.7684,-3.2107,1.0667,0.3259,"fixed: day_z:thicket3: OR=0.34 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,-0.6957,NA,NA,NA,-0.6731,log-odds,-48.9878,-2.5696,1.2234,0.4866,"fixed: thicket2: OR=0.51 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,-0.1384,NA,NA,NA,-0.1313,log-odds,-12.3077,-1.9907,1.7281,0.8899,"fixed: thicket3: OR=0.88 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-0.1473,NA,NA,NA,-0.1416,log-odds,-13.2069,-2.0266,1.7433,0.8829,"fixed: treatment2: OR=0.87 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z,Wald z,-0.4234,NA,NA,NA,-0.4207,log-odds,-34.3442,-2.3683,1.5268,0.672,"fixed: treatment2:day_z: OR=0.66 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket2,Wald z,1.2626,NA,NA,NA,1.8455,log-odds,533.1508,-1.0195,4.7105,0.2067,"fixed: treatment2:day_z:thicket2: OR=6.33 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket3,Wald z,0.3123,NA,NA,NA,0.4475,log-odds,56.4318,-2.3609,3.2558,0.7548,"fixed: treatment2:day_z:thicket3: OR=1.56 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-0.2347,NA,NA,NA,-0.2881,log-odds,-25.0283,-2.6939,2.1178,0.8145,"fixed: treatment2:thicket2: OR=0.75 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-1.1249,NA,NA,NA,-1.5516,log-odds,-78.8093,-4.2551,1.1519,0.2606,"fixed: treatment2:thicket3: OR=0.21 (n.s., blme penalized)",code/12_models.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Pigment over wound — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,1.1586,2,NA,NA,NA,NA,NA,NA,NA,0.5603,thicket effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.2092,1,NA,NA,NA,NA,NA,NA,NA,0.6474,treatment effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z,Wald chi-sq,0.001,1,NA,NA,NA,NA,NA,NA,NA,0.9746,treatment:day_z effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z:thicket,Wald chi-sq,1.6281,2,NA,NA,NA,NA,NA,NA,NA,0.443,treatment:day_z:thicket effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
"Morphology: Pigment over wound — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,1.0106,2,NA,NA,NA,NA,NA,NA,NA,0.6033,treatment:thicket effect on pigment_over_wound (n.s.),code/12_models.R,output/tables/12c_morph_blme_anova.csv
