library_id,id,treatment,wound,source_thicket,tank,day,plate,symbiont_cells_per_cm2,source_mean_heat_sensitivity,source_pca_displacement,source_resilience_rank,prelim_snp_sample_label,prelim_snp_library_id,prelim_snp_pc1,prelim_snp_pc2,prelim_snp_pc3,prelim_snp_pc4,prelim_snp_source_thicket,prelim_snp_cov,prelim_snp_cov_million,prelim_snp_coverage_band,prelim_snp_lowest_decile_cov,prelim_snp_cluster,prelim_snp_cluster_analysis,source_label,day_f
28C_T6_A_D3_W_id208,208,28C,yes,a,6,3,1,1151459.8540145983,0.565,3.71,3,208_wound_D3,208_W_D3_S58_L005,0.0614179120866609,0.040755182667387,0.120356014800337,0.266600525214954,a,15855944.018,15.855944017999999,>=10M,FALSE,5,cluster 5,A,3
28C_T6_C_D3_U_id281,281,28C,no,c,6,3,1,1139909.6048360013,0.007,1.022,1,281_wound_D3,281_W_D3_S57_L005,0.0172600582669253,-0.10305050751922,-0.0338393327605898,0.0010303096764593,c,16179043.0179999,16.179043017999902,>=10M,FALSE,1,cluster 1,C,3
28C_T6_C_D3_W_id282,282,28C,yes,c,6,3,1,1195594.9455949457,0.007,1.022,1,282_wound_D3,282_W_D3_S60_L005,0.01661037455105,-0.108446658064253,-0.0355751044322963,9.9500398021927e-4,c,12581308.988,12.581308988,>=10M,FALSE,1,cluster 1,C,3
28C_T6_D_D10_U_id232,232,28C,no,d,6,10,1,1171654.7641420786,0.43,3.382,2,232_wound_D10,232_W_D10_S104_L005,0.149054850696692,0.116847022009834,-0.0998008936256957,-0.0409701213177293,d,21337653.9659999,21.337653965999902,>=10M,FALSE,3,cluster 3,D,10
28C_T6_D_D10_W_id248,248,28C,yes,d,6,10,1,825597.0327310588,0.43,3.382,2,248_wound_D10,248_W_D10_S107_L005,0.153255118944763,0.121252985369375,-0.104330638756298,-0.0432216609218227,d,17820118.998,17.820118997999998,>=10M,FALSE,3,cluster 3,D,10
28C_T6_D_D1_U_id222,222,28C,no,d,6,1,1,717147.9139323072,0.43,3.382,2,222_wound_D1,222_W_D1_S8_L005,0.0581065027155083,0.00882222998642586,0.210028096651982,-0.117650704221714,d,11581060.024,11.581060024000001,>=10M,FALSE,2,cluster 2,D,1
28C_T6_D_D1_W_id238,238,28C,yes,d,6,1,1,1226470.5882352942,0.43,3.382,2,238_wound_D1,238_W_D1_S11_L005,0.055311022474528,0.00759642679083672,0.19675909581398,-0.107952140397094,d,15274572.9760001,15.274572976000101,>=10M,FALSE,2,cluster 2,D,1
28C_T9_A_D10_U_id137,137,28C,no,a,9,10,1,882491.3711954816,0.565,3.71,3,137_wound_D10,137_W_D10_S109_L005,-0.0947660360292919,0.04980607978032,-0.01405900240099,-0.00614126285081374,a,19563842.957,19.563842957,>=10M,FALSE,4,cluster 4,A,10
28C_T9_A_D10_W_id189,189,28C,yes,a,9,10,1,815638.1331563813,0.565,3.71,3,189_wound_D10,189_W_D10_S112_L005,-0.0956776262466495,0.0511405420530769,-0.0139204595595404,-0.0063682456567738,a,18957987.99,18.95798799,>=10M,FALSE,4,cluster 4,A,10
28C_T9_A_D1_U_id148,148,28C,no,a,9,1,1,1135659.215063345,0.565,3.71,3,148_wound_D1,148_W_D1_S13_L005,-0.105711431575481,0.0565068006707456,-0.0157256353563328,-0.00794017595312311,a,14873817.027,14.873817027000001,>=10M,FALSE,4,cluster 4,A,1
28C_T9_A_D1_W_id159,159,28C,yes,a,9,1,1,1152621.6990943914,0.565,3.71,3,159_wound_D1,159_W_D1_S16_L005,-0.0993167201957384,0.0530233678915754,-0.0139888962724734,-0.00704451518607239,a,18855361.001,18.855361001,>=10M,FALSE,4,cluster 4,A,1
28C_T9_C_D10_U_id253,253,28C,no,c,9,10,1,1434829.7522309187,0.007,1.022,1,253_wound_D10,253_W_D10_S111_L005,0.0180945109033873,-0.10601927605656,-0.034536205049536,0.0010115790319069,c,14180212.991,14.180212991000001,>=10M,FALSE,1,cluster 1,C,10
28C_T9_C_D10_W_id285,285,28C,yes,c,9,10,1,920733.2384699088,0.007,1.022,1,285_wound_D10,285_W_D10_S114_L005,0.0169830616395997,-0.106582173403225,-0.0358672822480725,4.1401171507534e-4,c,16745528.985,16.745528985,>=10M,FALSE,1,cluster 1,C,10
28C_T9_C_D1_U_id261,261,28C,no,c,9,1,1,1054378.6000195255,0.007,1.022,1,261_wound_D1,261_W_D1_S15_L005,0.0196444383407021,-0.11756945326644,-0.039868381866309,6.7154023985341e-4,c,14471352.976,14.471352976,>=10M,FALSE,1,cluster 1,C,1
28C_T9_C_D1_W_id288,288,28C,yes,c,9,1,1,883558.7389849677,0.007,1.022,1,288_wound_D1,288_W_D1_S18_L005,0.0180958766793332,-0.106192387224472,-0.0347476251488973,6.3761042515826e-4,c,19652318.94,19.65231894,>=10M,FALSE,1,cluster 1,C,1
28C_T9_D_D3_U_id229,229,28C,no,d,9,3,1,475297.1394037067,0.43,3.382,2,229_wound_D3,229_W_D3_S62_L005,0.157904965309515,0.127458152061288,-0.109040608925105,-0.0455600292038651,d,12318115.967,12.318115967,>=10M,FALSE,3,cluster 3,D,3
28C_T9_D_D3_W_id218,218,28C,yes,d,9,3,1,848360.0444171901,0.43,3.382,2,218_wound_D3,218_W_D3_S65_L005,-0.0929205240143659,0.0477571850930744,-0.0137231265315537,-0.00544725693707258,d,19387578.994,19.387578994,>=10M,FALSE,4,cluster 4,D,3
31C_T10_A_D10_U_id158,158,31C,no,a,10,10,1,193876.78366640976,0.565,3.71,3,158_wound_D10,158_W_D10_S133_L005,-0.0997330998979237,0.0528114383491975,-0.014397396296127,-0.0057771731985014,a,17750032,17.750032,>=10M,FALSE,4,cluster 4,A,10
31C_T10_A_D10_W_id214,214,31C,yes,a,10,10,1,270904.60270564456,0.565,3.71,3,214_wound_D10,214_W_D10_S137_L005,-0.0973540318013596,0.0540377896172505,-0.0162148524478601,-0.00646702047299766,a,15794712,15.794712,>=10M,FALSE,4,cluster 4,A,10
31C_T10_A_D1_U_id171,171,31C,no,a,10,1,1,680610.4552236852,0.565,3.71,3,171_wound_D1,171_W_D1_S37_L005,-0.102404366363897,0.0548404829063832,-0.0153916687071006,-0.00666804861724102,a,15965147.021,15.965147021,>=10M,FALSE,4,cluster 4,A,1
31C_T10_A_D1_W_id210,210,31C,yes,a,10,1,1,716507.104091713,0.565,3.71,3,210_wound_D1,210_W_D1_S40_L005,-0.107812365312204,0.0581089015167018,-0.0159832391596504,-0.0078200425650259,a,15440983.943,15.440983942999999,>=10M,FALSE,4,cluster 4,A,1
31C_T10_C_D10_U_id286,286,31C,no,c,10,10,1,371697.57170873263,0.007,1.022,1,286_wound_D10,286_W_D10_S135_L005,0.0174250463819126,-0.105319399948865,-0.034988474972908,5.0309501284696e-4,c,14060733.003,14.060733003000001,>=10M,FALSE,1,cluster 1,C,10
31C_T10_C_D10_W_id283,283,31C,yes,c,10,10,1,432055.6567245982,0.007,1.022,1,283_wound_D10,283_W_D10_S138_L005,0.016065139823251,-0.0997203209954464,-0.0335273117103423,-5.20080476357088e-5,c,18416763.918,18.416763918,>=10M,FALSE,1,cluster 1,C,10
31C_T10_C_D1_U_id262,262,31C,no,c,10,1,1,1401671.4270601927,0.007,1.022,1,262_wound_D1,262_W_D1_S39_L005,0.0214719460297058,-0.128051175738432,-0.042537327404463,-1.8509465003568e-4,c,12342166.991,12.342166991000001,>=10M,FALSE,1,cluster 1,C,1
31C_T10_C_D1_W_id254,254,31C,yes,c,10,1,1,482382.8904058502,0.007,1.022,1,254_wound_D1,254_W_D1_S41_L005,0.0228048123130698,-0.139153674339621,-0.0467491653994287,0.00133838911978586,c,11673059.967,11.673059967,>=10M,FALSE,1,cluster 1,C,1
31C_T10_D_D3_U_id241,241,31C,no,d,10,3,1,314020.59522462374,0.43,3.382,2,241_wound_D3,241_W_D3_S86_L005,-0.0944588524687829,0.0491059637680418,-0.0133791887876746,-0.0053145194320696,d,15985054.03,15.985054029999999,>=10M,FALSE,4,cluster 4,D,3
31C_T10_D_D3_W_id216,216,31C,yes,d,10,3,1,597027.7058913077,0.43,3.382,2,216_wound_D3,216_W_D3_S89_L005,0.0548125793079159,0.0046137462345245,0.197283629591725,-0.109639410904016,d,12564713.03,12.56471303,>=10M,FALSE,2,cluster 2,D,3
31C_T11_A_D3_U_id168,168,31C,no,a,11,3,1,942921.800352024,0.565,3.71,3,168_wound_D3,168_W_D3_S91_L005,0.0658888888397975,0.041629113776592,0.125247687983134,0.282890327565793,a,14568424.004,14.568424004,>=10M,FALSE,5,cluster 5,A,3
31C_T11_A_D3_W_id112,112,31C,yes,a,11,3,1,415439.72034233954,0.565,3.71,3,112_wound_D3,112_W_D3_S94_L005,-0.0984222997041012,0.0517493798758794,-0.0137809818687814,-0.00671330748698248,a,17573675.9870001,17.5736759870001,>=10M,FALSE,4,cluster 4,A,3
31C_T11_C_D3_U_id284,284,31C,no,c,11,3,1,962607.6464464844,0.007,1.022,1,284_wound_D3,284_W_D3_S93_L005,0.0176643000151155,-0.108161838977974,-0.0345512247272048,0.00178121318764694,c,12648079.015,12.648079015,>=10M,FALSE,1,cluster 1,C,3
31C_T11_C_D3_W_id265,265,31C,yes,c,11,3,1,872582.5727944372,0.007,1.022,1,265_wound_D3,265_W_D3_S96_L005,0.019786508432888,-0.115991549880116,-0.0375164081596906,0.00127630756007684,c,13774692.984,13.774692984,>=10M,FALSE,1,cluster 1,C,3
31C_T11_D_D10_U_id225,225,31C,no,d,11,10,1,423679.0031543269,0.43,3.382,2,225_wound_D10,225_W_D10_S140_L005,0.0526872487685515,0.00736748100209364,0.183583195786973,-0.0994596940960455,d,18962574.987,18.962574987,>=10M,FALSE,2,cluster 2,D,10
31C_T11_D_D10_W_id240,240,31C,yes,d,11,10,1,584803.6041868998,0.43,3.382,2,240_wound_D10,240_W_D10_S143_L005,0.162569799204296,0.128431351318712,-0.113308563084338,-0.0464450276215659,d,15504450.986,15.504450986,>=10M,FALSE,3,cluster 3,D,10
31C_T11_D_D1_U_id244,244,31C,no,d,11,1,1,827814.5695364239,0.43,3.382,2,244_wound_D1,244_W_D1_S44_L005,-0.0150889600277496,0.00746663289839479,-0.00188953123481279,-7.2741330494328e-4,d,1747623.99900001,1.74762399900001,<5M,TRUE,4,cluster 4,D,1
31C_T11_D_D1_W_id228,228,31C,yes,d,11,1,1,850854.6362123734,0.43,3.382,2,228_wound_D1,228_W_D1_S47_L005,0.181202991568914,0.149787116711669,-0.134195862651032,-0.0605024595225986,d,12807657.982,12.807657982,>=10M,FALSE,3,cluster 3,D,1
31C_T4_A_D10_U_id142,142,31C,no,a,4,10,1,157781.0106542296,0.565,3.71,3,142_wound_D10,142_W_D10_S121_L005,-0.102075547458691,0.0535323622993959,-0.0153679868079621,-0.00687931569198686,a,16782028.013,16.782028013,>=10M,FALSE,4,cluster 4,A,10
31C_T4_A_D10_W_id136,136,31C,yes,a,4,10,1,269668.05240614765,0.565,3.71,3,136_wound_D10,136_W_D10_S124_L005,-0.101229786675624,0.053519327308084,-0.0142054890872773,-0.00685175127099726,a,17151125.011,17.151125011,>=10M,FALSE,4,cluster 4,A,10
31C_T4_A_D1_U_id182,182,31C,no,a,4,1,1,568918.9754750147,0.565,3.71,3,182_wound_D1,182_W_D1_S25_L005,0.0680501025128565,0.0558070788286588,0.0289672885585775,0.336129652512052,a,9350396.00299999,9.35039600299999,5-10M,TRUE,6,small clusters (6/7/8),A,1
31C_T4_A_D1_W_id197,197,31C,yes,a,4,1,1,555106.9842551474,0.565,3.71,3,197_wound_D1,197_W_D1_S28_L005,-0.101012664142066,0.0552113709619794,-0.0160800857429215,-0.0064048083341006,a,14053960.0219999,14.053960021999899,>=10M,FALSE,4,cluster 4,A,1
31C_T4_C_D10_U_id293,293,31C,no,c,4,10,1,628303.9154197653,0.007,1.022,1,293_wound_D10,293_W_D10_S123_L005,0.0179702595600322,-0.103611389776698,-0.0335810700777535,2.2991460711482e-4,c,17945764.0069999,17.945764006999898,>=10M,FALSE,1,cluster 1,C,10
31C_T4_C_D10_W_id260,260,31C,yes,c,4,10,1,684031.7290313944,0.007,1.022,1,260_wound_D10,260_W_D10_S126_L005,0.0180941671300736,-0.103298258349043,-0.0339258108103213,2.5815947130637e-4,c,16012241.055,16.012241055,>=10M,FALSE,1,cluster 1,C,10
31C_T4_C_D1_U_id274,274,31C,no,c,4,1,1,1038925.05887242,0.007,1.022,1,274_wound_D1,274_W_D1_S27_L005,0.0194761109816986,-0.114579097304001,-0.038008430647097,0.0010983833336544,c,11735630.028,11.735630028000001,>=10M,FALSE,1,cluster 1,C,1
31C_T4_C_D1_W_id276,276,31C,yes,c,4,1,1,925084.7868217054,0.007,1.022,1,276_wound_D1,276_W_D1_S30_L005,0.0213172292965331,-0.12302886895191,-0.042341144404233,0.00212170730205931,c,10677145.955,10.677145955,>=10M,FALSE,1,cluster 1,C,1
31C_T4_D_D3_U_id236,236,31C,no,d,4,3,1,575475.5730630666,0.43,3.382,2,236_wound_D3,236_W_D3_S74_L005,-0.0974090238855533,0.052207342050334,-0.0132412133310521,-0.00627047109475984,d,9747513.96800002,9.747513968000021,5-10M,TRUE,4,cluster 4,D,3
31C_T4_D_D3_W_id206,206,31C,yes,d,4,3,1,591973.4945622672,0.43,3.382,2,206_wound_D3,206_W_D3_S77_L005,0.0512728961830615,0.00715108185563564,0.183438475042892,-0.102691223085626,d,15540476.983,15.540476983,>=10M,FALSE,2,cluster 2,D,3
31C_T5_A_D3_U_id153,153,31C,no,a,5,3,1,393137.77379692206,0.565,3.71,3,153_wound_D3,153_W_D3_S79_L005,-0.0955272971619642,0.0501543819678272,-0.0140483504371921,-0.00531365289750257,a,13139838.008,13.139838008,>=10M,FALSE,4,cluster 4,A,3
31C_T5_A_D3_W_id212,212,31C,yes,a,5,3,1,1951919.7231091196,0.565,3.71,3,212_wound_D3,212_W_D3_S82_L005,0.0490663932835018,0.0476154950754304,0.0565322942466533,0.0717490396854704,a,8993183.031,8.993183031,5-10M,TRUE,7,small clusters (6/7/8),A,3
31C_T5_C_D3_U_id297,297,31C,no,c,5,3,1,850544.9509243091,0.007,1.022,1,297_wound_D3,297_W_D3_S81_L005,0.0168356547275473,-0.101719535358681,-0.0326845176693761,3.1011643263047e-4,c,16034903.996,16.034903996,>=10M,FALSE,1,cluster 1,C,3
31C_T5_C_D3_W_id270,270,31C,yes,c,5,3,1,633074.2355713241,0.007,1.022,1,270_wound_D3,270_W_D3_S84_L005,0.0130713273383368,-0.0869640169671576,-0.0286622848448097,3.4070517634848e-4,c,11184343.962,11.184343962,>=10M,FALSE,1,cluster 1,C,3
31C_T5_D_D10_U_id233,233,31C,no,d,5,10,1,66540.27904891761,0.43,3.382,2,233_wound_D10,233_W_D10_S128_L005,-0.0940594887549883,0.0492628308228454,-0.0134659214439033,-0.00556037267089249,d,20554139.945,20.554139945,>=10M,FALSE,4,cluster 4,D,10
31C_T5_D_D10_W_id235,235,31C,yes,d,5,10,1,125276.65260784232,0.43,3.382,2,235_wound_D10,235_W_D10_S131_L005,0.149651099923772,0.114978110016038,-0.102305617789712,-0.0405131475682371,d,19527005.0000001,19.527005000000102,>=10M,FALSE,3,cluster 3,D,10
31C_T5_D_D1_U_id200,200,31C,no,d,5,1,1,674264.6185518033,0.43,3.382,2,200_wound_D1,200_W_D1_S32_L005,0.182386667751865,0.150994818727393,-0.133142574351916,-0.0571262402784714,d,11050573.002,11.050573002,>=10M,FALSE,3,cluster 3,D,1
31C_T5_D_D1_W_id226,226,31C,yes,d,5,1,1,627358.580924468,0.43,3.382,2,226_wound_D1,226_W_D1_S35_L005,-0.105707654469774,0.0558915677907125,-0.0158265043053695,-0.00695215790453269,d,14422725.006,14.422725005999999,>=10M,FALSE,4,cluster 4,D,1
28C_T12_A_D10_U_id196,196,28C,no,a,12,10,2,951437.270283614,0.565,3.71,3,196_wound_D10,196_W_D10_S115_L005,-0.0944333955132406,0.0490379571588164,-0.0137646189903229,-0.00624856667076881,a,21502271.028,21.502271028,>=10M,FALSE,4,cluster 4,A,10
28C_T12_A_D10_W_id213,213,28C,yes,a,12,10,2,652529.1652166018,0.565,3.71,3,213_wound_D10,213_W_D10_S118_L005,-0.092228748567673,0.0494494581847151,-0.00948225666654758,-0.00801019977964964,a,19997529.9569999,19.9975299569999,>=10M,FALSE,4,cluster 4,A,10
28C_T12_A_D1_U_id151,151,28C,no,a,12,1,2,1130649.073229345,0.565,3.71,3,151_wound_D1,151_W_D1_S19_L005,-0.105191343680548,0.0561288714622061,-0.0160573261623511,-0.00596910439068511,a,19340468.0159999,19.3404680159999,>=10M,FALSE,4,cluster 4,A,1
28C_T12_A_D1_W_id164,164,28C,yes,a,12,1,2,1485248.2126674051,0.565,3.71,3,164_wound_D1,164_W_D1_S22_L005,0.0689157717802094,0.0575589201183944,0.0313794586493584,0.339978879892815,a,16319307.9880001,16.3193079880001,>=10M,FALSE,6,small clusters (6/7/8),A,1
28C_T12_C_D10_U_id275,275,28C,no,c,12,10,2,1306695.7043489856,0.007,1.022,1,275_wound_D10,275_W_D10_S117_L005,0.0174571617896555,-0.10300042385455,-0.033606860814802,2.848080981006e-4,c,16904362.988,16.904362988000003,>=10M,FALSE,1,cluster 1,C,10
28C_T12_C_D10_W_id252,252,28C,yes,c,12,10,2,1306184.6907654617,0.007,1.022,1,252_wound_D10,252_W_D10_S120_L005,0.0166743721067069,-0.110128016943114,-0.0368337454985473,5.5534103801444e-4,c,16720235.004,16.720235004,>=10M,FALSE,1,cluster 1,C,10
28C_T12_C_D1_U_id287,287,28C,no,c,12,1,2,1053715.4808143752,0.007,1.022,1,287_wound_D1,287_W_D1_S21_L005,0.0196619231323666,-0.11703786462294,-0.038331212837045,0.0012848271256405,c,17141783.9789999,17.1417839789999,>=10M,FALSE,1,cluster 1,C,1
28C_T12_C_D1_W_id294,294,28C,yes,c,12,1,2,1267548.1765437217,0.007,1.022,1,294_wound_D1,294_W_D1_S24_L005,0.0180168355092106,-0.10547768030917,-0.0343261116629451,3.728696398346e-4,c,19986366.031,19.986366031,>=10M,FALSE,1,cluster 1,C,1
28C_T12_D_D3_U_id201,201,28C,no,d,12,3,2,678998.3745190428,0.43,3.382,2,201_wound_D3,201_W_D3_S68_L005,0.158393154629441,0.128414693052254,-0.110556410466965,-0.0463505978638587,d,10002374.997,10.002374996999999,>=10M,FALSE,3,cluster 3,D,3
28C_T12_D_D3_W_id223,223,28C,yes,d,12,3,2,1157850.4172089107,0.43,3.382,2,223_wound_D3,223_W_D3_S71_L005,0.055492265131618,0.00744798448958706,0.198268025137032,-0.108624431527416,d,15074856.943,15.074856943,>=10M,FALSE,2,cluster 2,D,3
28C_T3_A_D3_U_id134,134,28C,no,a,3,3,2,776432.9234922836,0.565,3.71,3,134_wound_D3,134_W_D3_S49_L005,-0.0967093591461134,0.0504451801054505,-0.0139228347575631,-0.00607353127032608,a,16657043.99,16.657043990000002,>=10M,FALSE,4,cluster 4,A,3
28C_T3_A_D3_W_id160,160,28C,yes,a,3,3,2,1005390.0661584444,0.565,3.71,3,160_wound_D3,160_W_D3_S52_L005,-0.104769769694611,0.0566789776696804,-0.0172443384105879,-0.00558138593661608,a,9955190.03100001,9.955190031000011,5-10M,TRUE,4,cluster 4,A,3
28C_T3_C_D3_U_id290,290,28C,no,c,3,3,2,834116.9602110666,0.007,1.022,1,290_wound_D3,290_W_D3_S51_L005,0.0184290214104767,-0.10916229533978,-0.0352273480375345,1.4830136588368e-4,c,12726885.028,12.726885028000002,>=10M,FALSE,1,cluster 1,C,3
28C_T3_C_D3_W_id250,250,28C,yes,c,3,3,2,964175.5227973948,0.007,1.022,1,250_wound_D3,250_W_D3_S54_L005,0.0163560751134728,-0.0983707146586094,-0.0317481749038371,3.8816679518934e-4,c,26924025.989,26.924025989,>=10M,FALSE,1,cluster 1,C,3
28C_T3_D_D10_U_id204,204,28C,no,d,3,10,2,884138.5751889276,0.43,3.382,2,204_wound_D10,204_W_D10_S98_L005,0.0533939786759769,0.00803450085754893,0.187601121944559,-0.101841460860099,d,19974108.991,19.974108991,>=10M,FALSE,2,cluster 2,D,10
28C_T3_D_D10_W_id258,258,28C,yes,d,3,10,2,1036501.3065574784,0.43,3.382,2,258_wound_D10,258_W_D10_S101_L005,0.054724319282863,0.00801877565193186,0.195219394670949,-0.106872540605174,d,18242136.984,18.242136984000002,>=10M,FALSE,2,cluster 2,D,10
28C_T3_D_D1_U_id246,246,28C,no,d,3,1,2,966111.7717003566,0.43,3.382,2,246_wound_D1,246_W_D1_S2_L005,0.156993641918562,0.124872474570309,-0.106602538643759,-0.0444336978286789,d,16780718.9990001,16.780718999000097,>=10M,FALSE,3,cluster 3,D,1
28C_T3_D_D1_W_id203,203,28C,yes,d,3,1,2,1168488.4109540563,0.43,3.382,2,203_wound_D1,203_W_D1_S4_L005,0.0916790764477144,0.0720311236938612,-0.0621087910316976,-0.0276691827846138,d,4165306.02,4.16530602,<5M,TRUE,3,cluster 3,D,1
28C_T6_A_D10_U_id199,199,28C,no,a,6,10,2,1299790.757610554,0.565,3.71,3,199_wound_D10,199_W_D10_S103_L005,0.0640297593148489,0.0401400533263689,0.119646899846816,0.267112878291262,a,19246610.975,19.246610975000003,>=10M,FALSE,5,cluster 5,A,10
28C_T6_A_D10_W_id135,135,28C,yes,a,6,10,2,933447.0129695584,0.565,3.71,3,135_wound_D10,135_W_D10_S106_L005,0.0623423282875136,0.0392919726319308,0.116643233868488,0.257183783731088,a,21018055.993,21.018055993,>=10M,FALSE,5,cluster 5,A,10
28C_T6_A_D1_U_id192,192,28C,no,a,6,1,2,1498762.3124129751,0.565,3.71,3,192_wound_D1,192_W_D1_S7_L005,-0.0995269197494776,0.0521361884453192,-0.0147163805773328,-0.0063327076418827,a,17405415.995,17.405415995000002,>=10M,FALSE,4,cluster 4,A,1
