id,tank,treatment,wound,thicket,day,top,bottom,gap,average
144,12,28C,yes,d,12,0.637,0.662,-0.025000000000000022,0.6495
147,12,28C,no,d,12,0.66,0.676,-0.016000000000000014,0.668
152,4,31C,yes,a,12,0.578,0.606,-0.028000000000000025,0.592
165,4,31C,no,a,12,0.557,0.632,-0.07499999999999996,0.5945
133,4,31C,yes,c,12,0.646,0.627,0.019000000000000017,0.6365000000000001
141,4,31C,no,c,12,0.591,0.65,-0.05900000000000005,0.6205
143,4,31C,yes,d,12,0.578,0.551,0.026999999999999913,0.5645
150,4,31C,no,d,12,0.598,0.583,0.015000000000000013,0.5905
161,5,31C,no,a,12,0.547,0.505,0.04200000000000004,0.526
170,5,31C,yes,a,12,0.585,0.628,-0.04300000000000004,0.6065
115,5,31C,yes,c,12,0.656,0.686,-0.030000000000000027,0.671
124,5,31C,no,c,12,0.62,0.659,-0.039000000000000035,0.6395
126,5,31C,yes,d,12,0.495,0.573,-0.07799999999999996,0.534
154,5,31C,no,d,12,0.519,0.551,-0.03200000000000003,0.535
175,10,31C,yes,a,12,0.471,0.592,-0.121,0.5315
178,10,31C,no,a,12,0.528,0.561,-0.03300000000000003,0.5445
119,10,31C,no,c,12,0.665,0.688,-0.02299999999999991,0.6765
132,10,31C,no,c,12,0.617,0.653,-0.03600000000000003,0.635
110,10,31C,yes,d,12,0.467,0.598,-0.13099999999999995,0.5325
120,10,31C,no,d,12,0.589,0.573,0.016000000000000014,0.581
163,11,31C,no,a,12,0.6,0.639,-0.039000000000000035,0.6194999999999999
174,11,31C,yes,a,12,0.633,0.652,-0.019000000000000017,0.6425000000000001
116,11,31C,yes,c,12,0.695,0.692,0.0030000000000000027,0.6935
127,11,31C,no,c,12,0.667,0.7,-0.03299999999999992,0.6835
128,11,31C,no,d,12,0.671,0.619,0.052000000000000046,0.645
149,11,31C,yes,d,12,0.641,0.642,-0.0010000000000000009,0.6415
162,3,28C,no,a,14,0.675,0.668,0.007000000000000006,0.6715
172,3,28C,yes,a,14,0.688,0.642,0.04599999999999993,0.665
129,3,28C,yes,c,14,0.68,0.676,0.0040000000000000036,0.678
139,3,28C,no,c,14,0.693,0.679,0.013999999999999901,0.6859999999999999
113,3,28C,yes,d,14,0.63,0.652,-0.02200000000000002,0.641
156,3,28C,no,d,14,0.633,0.675,-0.04200000000000004,0.654
169,6,28C,no,a,14,0.658,0.667,-0.009000000000000008,0.6625000000000001
179,6,28C,yes,a,14,0.669,0.658,0.01100000000000001,0.6635
117,6,28C,yes,c,14,0.638,0.67,-0.03200000000000003,0.654
123,6,28C,no,c,14,0.709,0.699,0.010000000000000009,0.704
145,6,28C,no,d,14,0.67,0.701,-0.030999999999999917,0.6855
146,6,28C,yes,d,14,0.673,0.685,-0.01200000000000001,0.679
166,9,28C,yes,a,14,0.607,0.652,-0.04500000000000004,0.6295
173,9,28C,no,a,14,0.649,0.666,-0.017000000000000015,0.6575
121,9,28C,yes,c,14,0.721,0.695,0.026000000000000023,0.708
131,9,28C,no,c,14,0.619,0.683,-0.06400000000000006,0.651
118,9,28C,yes,d,14,0.671,0.688,-0.016999999999999904,0.6795
122,9,28C,no,d,14,0.657,0.671,-0.014000000000000012,0.664
176,12,28C,no,a,14,0.684,0.683,0.0010000000000000009,0.6835
177,12,28C,yes,a,14,0.617,0.685,-0.06800000000000006,0.651
125,12,28C,no,c,14,0.687,0.69,-0.0029999999999998916,0.6885
130,12,28C,yes,c,14,0.672,0.688,-0.015999999999999903,0.6799999999999999
144,12,28C,yes,d,14,0.654,0.674,-0.020000000000000018,0.664
147,12,28C,no,d,14,0.67,0.672,-0.0020000000000000018,0.671
152,4,31C,yes,a,14,0.547,0.563,-0.015999999999999903,0.5549999999999999
165,4,31C,no,a,14,0.511,0.568,-0.05699999999999994,0.5395
133,4,31C,yes,c,14,0.661,0.667,-0.006000000000000005,0.664
141,4,31C,no,c,14,0.53,0.635,-0.10499999999999998,0.5825
143,4,31C,yes,d,14,0.553,0.525,0.028000000000000025,0.539
150,4,31C,no,d,14,0.445,0.516,-0.07100000000000001,0.48050000000000004
161,5,31C,no,a,14,0.416,0.509,-0.09300000000000003,0.4625
170,5,31C,yes,a,14,0.428,0.532,-0.10400000000000004,0.48
115,5,31C,yes,c,14,0.661,0.694,-0.03299999999999992,0.6775
124,5,31C,no,c,14,0.562,0.637,-0.07499999999999996,0.5995
126,5,31C,yes,d,14,0.51,0.496,0.014000000000000012,0.503
154,5,31C,no,d,14,0.49,0.504,-0.014000000000000012,0.497
175,10,31C,yes,a,14,0.4,0.568,-0.16799999999999993,0.484
178,10,31C,no,a,14,0.326,0.425,-0.09899999999999998,0.3755
119,10,31C,no,c,14,0.657,0.678,-0.02100000000000002,0.6675
132,10,31C,no,c,14,0.61,0.651,-0.041000000000000036,0.6305000000000001
110,10,31C,yes,d,14,0.524,0.523,0.0010000000000000009,0.5235000000000001
120,10,31C,no,d,14,0.476,0.568,-0.09199999999999997,0.522
163,11,31C,no,a,14,0.596,0.668,-0.07200000000000006,0.632
174,11,31C,yes,a,14,0.546,0.6,-0.05399999999999994,0.573
116,11,31C,yes,c,14,0.692,0.693,-0.0010000000000000009,0.6924999999999999
127,11,31C,no,c,14,0.678,0.602,0.07600000000000007,0.64
128,11,31C,no,d,14,0.6,0.603,-0.0030000000000000027,0.6014999999999999
149,11,31C,yes,d,14,0.615,0.635,-0.020000000000000018,0.625
