Description,Domain,Response,Model,Term,Test,Statistic,df,N,Estimate,% change,95% CI,p,Interpretation,Source
"Morphology: Polyps out — fixed: treatment2:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z,Wald z,-1.94,NA,NA,-1.256 log-odds,-71.5%,"[-2.53, 0.01]",0.052,"fixed: treatment2:day_z: OR=0.28 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: treatment2:day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket2,Wald z,0.81,NA,NA,0.628 log-odds,+87.4%,"[-0.89, 2.14]",0.416,"fixed: treatment2:day_z:thicket2: OR=1.87 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: treatment2:day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket3,Wald z,-0.18,NA,NA,-0.130 log-odds,-12.2%,"[-1.51, 1.25]",0.854,"fixed: treatment2:day_z:thicket3: OR=0.88 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,0.81,NA,NA,0.492 log-odds,+63.5%,"[-0.70, 1.68]",0.419,"fixed: treatment2:thicket2: OR=1.64 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-0.43,NA,NA,-0.244 log-odds,-21.6%,"[-1.34, 0.86]",0.665,"fixed: treatment2:thicket3: OR=0.78 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,3.48,2,NA,NA,NA,NA,0.175,thicket effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.32,1,NA,NA,NA,NA,0.573,treatment effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — treatment:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z,Wald chi-sq,3.61,1,NA,NA,NA,NA,0.057,treatment:day_z effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — treatment:day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z:thicket,Wald chi-sq,0.72,2,NA,NA,NA,NA,0.696,treatment:day_z:thicket effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,0.80,2,NA,NA,NA,NA,0.669,treatment:thicket effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Polyps out,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.06,NA,NA,0.056 probability,+5.6%,NA,0.300,P(28C)=0.92 vs P(31C)=0.86; OR(31vs28)=0.56,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: Tip exist — day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",day_z,Wald chi-sq,40.92,1,NA,NA,NA,NA,<0.001,day_z effect on tip_exist (significant),code/12_models.R
"Morphology: Tip exist — day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",day_z:thicket,Wald chi-sq,0.66,2,NA,NA,NA,NA,0.720,day_z:thicket effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — fixed: day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z,Wald z,3.23,NA,NA,NA log-odds [residual separation],NA,NA,NA,"fixed: day_z: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12_models.R
"Morphology: Tip exist — fixed: day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket2,Wald z,-1.41,NA,NA,-6.329 log-odds,-99.8%,"[-15.15, 2.50]",0.160,"fixed: day_z:thicket2: OR=0.00 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket3,Wald z,0.33,NA,NA,1.083 log-odds,+195.2%,"[-5.40, 7.56]",0.743,"fixed: day_z:thicket3: OR=2.95 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,-2.05,NA,NA,-3.461 log-odds,-96.9%,"[-6.77, -0.15]",0.040,"fixed: thicket2: OR=0.03 (sig, blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,0.27,NA,NA,0.410 log-odds,+50.7%,"[-2.54, 3.36]",0.785,"fixed: thicket3: OR=1.51 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-0.59,NA,NA,-0.936 log-odds,-60.8%,"[-4.02, 2.15]",0.553,"fixed: treatment2: OR=0.39 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z,Wald z,0.49,NA,NA,1.456 log-odds,+328.8%,"[-4.40, 7.31]",0.626,"fixed: treatment2:day_z: OR=4.29 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2:day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket2,Wald z,0.92,NA,NA,3.607 log-odds,+3586.6%,"[-4.05, 11.26]",0.356,"fixed: treatment2:day_z:thicket2: OR=36.87 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2:day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket3,Wald z,-1.84,NA,NA,-9.558 log-odds,-100.0%,"[-19.74, 0.63]",0.066,"fixed: treatment2:day_z:thicket3: OR=0.00 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,1.31,NA,NA,2.672 log-odds,+1346.5%,"[-1.33, 6.67]",0.190,"fixed: treatment2:thicket2: OR=14.47 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-1.14,NA,NA,-2.250 log-odds,-89.5%,"[-6.13, 1.63]",0.256,"fixed: treatment2:thicket3: OR=0.11 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip exist — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,1.21,2,NA,NA,NA,NA,0.545,thicket effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.02,1,NA,NA,NA,NA,0.882,treatment effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — treatment:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z,Wald chi-sq,0.31,1,NA,NA,NA,NA,0.575,treatment:day_z effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — treatment:day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z:thicket,Wald chi-sq,3.94,2,NA,NA,NA,NA,0.139,treatment:day_z:thicket effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,1.55,2,NA,NA,NA,NA,0.460,treatment:thicket effect on tip_exist (n.s.),code/12_models.R
"Morphology: Tip exist — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Tip exist,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.14,NA,NA,0.141 probability,+14.1%,NA,0.480,P(28C)=0.83 vs P(31C)=0.69; OR(31vs28)=0.45,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: Tip extension — day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",day_z,Wald chi-sq,36.80,1,NA,NA,NA,NA,<0.001,day_z effect on tip_extension (significant),code/12_models.R
"Morphology: Tip extension — day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",day_z:thicket,Wald chi-sq,0.85,2,NA,NA,NA,NA,0.653,day_z:thicket effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — fixed: day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z,Wald z,4.17,NA,NA,NA log-odds [residual separation],NA,NA,NA,"fixed: day_z: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12_models.R
"Morphology: Tip extension — fixed: day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket2,Wald z,0.39,NA,NA,1.022 log-odds,+177.7%,"[-4.05, 6.09]",0.693,"fixed: day_z:thicket2: OR=2.78 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket3,Wald z,0.96,NA,NA,2.439 log-odds,+1046.1%,"[-2.52, 7.40]",0.335,"fixed: day_z:thicket3: OR=11.46 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,-1.23,NA,NA,-2.204 log-odds,-89.0%,"[-5.73, 1.32]",0.220,"fixed: thicket2: OR=0.11 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,-0.01,NA,NA,-0.016 log-odds,-1.6%,"[-3.36, 3.33]",0.992,"fixed: thicket3: OR=0.98 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-0.83,NA,NA,-1.439 log-odds,-76.3%,"[-4.84, 1.96]",0.407,"fixed: treatment2: OR=0.24 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z,Wald z,-1.08,NA,NA,-2.807 log-odds,-94.0%,"[-7.88, 2.27]",0.279,"fixed: treatment2:day_z: OR=0.06 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2:day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket2,Wald z,0.74,NA,NA,2.186 log-odds,+789.9%,"[-3.60, 7.97]",0.459,"fixed: treatment2:day_z:thicket2: OR=8.90 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2:day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket3,Wald z,-1.32,NA,NA,-3.812 log-odds,-97.8%,"[-9.48, 1.85]",0.187,"fixed: treatment2:day_z:thicket3: OR=0.02 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-0.27,NA,NA,-0.623 log-odds,-46.4%,"[-5.09, 3.85]",0.785,"fixed: treatment2:thicket2: OR=0.54 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-0.62,NA,NA,-1.391 log-odds,-75.1%,"[-5.78, 2.99]",0.534,"fixed: treatment2:thicket3: OR=0.25 (n.s., blme penalized)",code/12_models.R
"Morphology: Tip extension — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,1.06,2,NA,NA,NA,NA,0.588,thicket effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,1.63,1,NA,NA,NA,NA,0.202,treatment effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — treatment:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z,Wald chi-sq,0.67,1,NA,NA,NA,NA,0.414,treatment:day_z effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — treatment:day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z:thicket,Wald chi-sq,2.15,2,NA,NA,NA,NA,0.342,treatment:day_z:thicket effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,0.45,2,NA,NA,NA,NA,0.798,treatment:thicket effect on tip_extension (n.s.),code/12_models.R
"Morphology: Tip extension — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Tip extension,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.22,NA,NA,0.218 probability,+21.8%,NA,0.167,P(28C)=0.26 vs P(31C)=0.04; OR(31vs28)=0.12,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: Wound smoothed — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Wound smoothed,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,-0.00,NA,NA,-0.000 probability,-0.0%,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/sensitivity/29_morphology_prob_contrasts.R
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC1,PCA loading,0.53,NA,NA,0.530 loading,NA,NA,NA,color_end loads 0.53 on PC1,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC2,PCA loading,-0.23,NA,NA,-0.230 loading,NA,NA,NA,color_end loads -0.23 on PC2,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC3,PCA loading,0.23,NA,NA,0.228 loading,NA,NA,NA,color_end loads 0.23 on PC3,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC4,PCA loading,-0.78,NA,NA,-0.784 loading,NA,NA,NA,color_end loads -0.78 on PC4,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[growth_pct] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_pct] -> PC1,PCA loading,0.41,NA,NA,0.414 loading,NA,NA,NA,growth_pct loads 0.41 on PC1,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[growth_pct] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_pct] -> PC2,PCA loading,0.91,NA,NA,0.908 loading,NA,NA,NA,growth_pct loads 0.91 on PC2,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[growth_pct] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_pct] -> PC3,PCA loading,-0.06,NA,NA,-0.061 loading,NA,NA,NA,growth_pct loads -0.06 on PC3,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[growth_pct] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_pct] -> PC4,PCA loading,-0.00,NA,NA,-0.004 loading,NA,NA,NA,growth_pct loads -0.00 on PC4,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC1,PCA loading,0.52,NA,NA,0.518 loading,NA,NA,NA,pam_end loads 0.52 on PC1,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC2,PCA loading,-0.29,NA,NA,-0.288 loading,NA,NA,NA,pam_end loads -0.29 on PC2,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC3,PCA loading,-0.78,NA,NA,-0.778 loading,NA,NA,NA,pam_end loads -0.78 on PC3,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC4,PCA loading,0.21,NA,NA,0.209 loading,NA,NA,NA,pam_end loads 0.21 on PC4,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC1,PCA loading,0.53,NA,NA,0.528 loading,NA,NA,NA,zoox_end loads 0.53 on PC1,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC2,PCA loading,-0.20,NA,NA,-0.199 loading,NA,NA,NA,zoox_end loads -0.20 on PC2,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC3,PCA loading,0.58,NA,NA,0.583 loading,NA,NA,NA,zoox_end loads 0.58 on PC3,code/15_multivariate.R
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC4,PCA loading,0.58,NA,NA,0.585 loading,NA,NA,NA,zoox_end loads 0.58 on PC4,code/15_multivariate.R
"Multivariate: Per-genet thermal displacement (PCA) — genet=a [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=a,Euclidean displacement,3.71,NA,NA,3.710 PC units,NA,NA,NA,Genet a shifts 3.71 PC-units under heat,code/15_multivariate.R
"Multivariate: Per-genet thermal displacement (PCA) — genet=c [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=c,Euclidean displacement,1.02,NA,NA,1.022 PC units,NA,NA,NA,Genet c shifts 1.02 PC-units under heat,code/15_multivariate.R
"Multivariate: Per-genet thermal displacement (PCA) — genet=d [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=d,Euclidean displacement,3.38,NA,NA,3.382 PC units,NA,NA,NA,Genet d shifts 3.38 PC-units under heat,code/15_multivariate.R
"Physiology: Buoyant weight growth (%) — percent reduction 31C vs 28C [derived, ratio]",Physiology,Buoyant weight growth (%),derived,percent reduction 31C vs 28C,ratio,-33.92,NA,NA,-33.924 %,-33.9%,NA,NA,31C corals grew 34% less mass than 28C corals,code/05_buoyant_weight.R (raw)
"Physiology: Buoyant weight growth (%) — mean(28C) [raw summary, mean +/- SD]",Physiology,Buoyant weight growth (%),raw summary,mean(28C),mean +/- SD,6.10,NA,24,6.104 %,NA,"[4.41, 7.79]",NA,"28C mean growth = 6.10% (SD 1.69, n=24)",code/05_buoyant_weight.R (raw)
"Physiology: Buoyant weight growth (%) — mean(31C) [raw summary, mean +/- SD]",Physiology,Buoyant weight growth (%),raw summary,mean(31C),mean +/- SD,4.03,NA,24,4.033 %,NA,"[2.89, 5.18]",NA,"31C mean growth = 4.03% (SD 1.15, n=24)",code/05_buoyant_weight.R (raw)
"Physiology: Color (Siebeck D) — R2_conditional [LMM, R-squared]",Physiology,Color (Siebeck D),LMM,R2_conditional,R-squared,0.88,NA,NA,0.883 proportion,NA,NA,NA,R2_conditional = 0.883,code/12_models.R
"Physiology: Color (Siebeck D) — R2_marginal [LMM, R-squared]",Physiology,Color (Siebeck D),LMM,R2_marginal,R-squared,0.72,NA,NA,0.717 proportion,NA,NA,NA,R2_marginal = 0.717,code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=a | wound=no [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=a | wound=no,Satterthwaite t,8.55,26,NA,1.834 ,-45.9%,"[1.41, 2.25]",<0.001,"Genet a, unwounded: lower under 31C (-45.9%)",code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=a | wound=yes [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=a | wound=yes,Satterthwaite t,8.28,26,NA,1.776 ,-44.4%,"[1.36, 2.20]",<0.001,"Genet a, wounded: lower under 31C (-44.4%)",code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=c | wound=no [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=c | wound=no,Satterthwaite t,2.37,26,NA,0.509 ,-12.7%,"[0.09, 0.93]",0.025,"Genet c, unwounded: lower under 31C (-12.7%)",code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=c | wound=yes [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=c | wound=yes,Satterthwaite t,0.64,26,NA,0.138 ,-3.5%,"[-0.28, 0.56]",0.525,"Genet c, wounded: no change under 31C (-3.5%)",code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=d | wound=no [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=d | wound=no,Satterthwaite t,6.41,26,NA,1.374 ,-37.9%,"[0.95, 1.79]",<0.001,"Genet d, unwounded: lower under 31C (-37.9%)",code/12_models.R
"Physiology: Color (Siebeck D) — contrast: 28C - 31C | genet=d | wound=yes [LMM, Satterthwaite t]",Physiology,Color (Siebeck D),LMM,contrast: 28C - 31C | genet=d | wound=yes,Satterthwaite t,7.66,26,NA,1.642 ,-41.1%,"[1.22, 2.06]",<0.001,"Genet d, wounded: lower under 31C (-41.1%)",code/12_models.R
"Physiology: Color (Siebeck D) — day [LMM, ANOVA F]",Physiology,Color (Siebeck D),LMM,day,ANOVA F,329.87,"1, 228.0",NA,NA,NA,NA,<0.001,day effect on Color (Siebeck D) (significant),code/12_models.R
"Physiology: Color (Siebeck D) — day:thicket [LMM, ANOVA F]",Physiology,Color (Siebeck D),LMM,day:thicket,ANOVA F,36.59,"2, 228.0",NA,NA,NA,NA,<0.001,day:thicket effect on Color (Siebeck D) (significant),code/12_models.R
"Physiology: Color (Siebeck D) — thicket [LMM, ANOVA F]",Physiology,Color (Siebeck D),LMM,thicket,ANOVA F,0.41,"2, 59.1",NA,NA,NA,NA,0.665,thicket effect on Color (Siebeck D) (n.s.),code/12_models.R
"Physiology: Color (Siebeck D) — treatment [LMM, ANOVA F]",Physiology,Color (Siebeck D),LMM,treatment,ANOVA F,0.11,"1, 6.9",NA,NA,NA,NA,0.745,treatment effect on Color (Siebeck D) (n.s.),code/12_models.R
