model,diagnostic,value,p_value,status,diagnostic_figure
cloglog_transition_wound_smoothed_growth,DHARMa uniformity screen,0.31005104699640584,0.31005104699640584,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
cloglog_transition_wound_smoothed_growth,bias-reduced complementary log-log convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
cloglog_transition_wound_smoothed_growth,maximum hat value,0.2249759887221497,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
cox_new_corallites_on_tip_growth,global proportional hazards,0.19246551584033003,0.19246551584033003,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_new_corallites_on_tip_growth_cox_zph.png
cox_new_corallites_on_tip_growth,growth proportional hazards,0.6943711626792042,0.6943711626792042,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_new_corallites_on_tip_growth_cox_zph.png
cox_new_corallites_on_tip_growth,maximum absolute dfbeta,0.1762419155383142,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_new_corallites_on_tip_growth_cox_zph.png
cox_tip_extension_growth,global proportional hazards,0.20670232196937174,0.20670232196937174,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_tip_extension_growth_cox_zph.png
cox_tip_extension_growth,growth proportional hazards,0.6032526979937051,0.6032526979937051,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_tip_extension_growth_cox_zph.png
cox_tip_extension_growth,maximum absolute dfbeta,0.19506781438642473,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_tip_extension_growth_cox_zph.png
cox_wound_smoothed_growth,global proportional hazards,0.9313005974777631,0.9313005974777631,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_wound_smoothed_growth_cox_zph.png
cox_wound_smoothed_growth,growth proportional hazards,0.7079495375415481,0.7079495375415481,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_wound_smoothed_growth_cox_zph.png
cox_wound_smoothed_growth,maximum absolute dfbeta,0.14733072742455425,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_wound_smoothed_growth_cox_zph.png
lm_growth_by_new_corallites_all_wounded,Shapiro-Wilk residual normality,0.6278655815745953,0.6278655815745953,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_all_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_all_wounded,maximum Cook's distance,0.26501730873015317,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_all_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_all_wounded,observations above 4/n Cook's threshold,3,NA,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_all_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_heated_wounded,Shapiro-Wilk residual normality,0.015083914085905613,0.015083914085905613,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_heated_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_heated_wounded,maximum Cook's distance,0.5083704938786998,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_heated_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_heated_wounded,observations above 4/n Cook's threshold,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_heated_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_all_wounded,Shapiro-Wilk residual normality,0.10108049535965423,0.10108049535965423,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_all_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_all_wounded,maximum Cook's distance,0.2869300116663198,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_all_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_all_wounded,observations above 4/n Cook's threshold,2,NA,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_all_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_heated_wounded,Shapiro-Wilk residual normality,0.9476021990736483,0.9476021990736483,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_heated_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_heated_wounded,maximum Cook's distance,1.6388392003722223,NA,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_heated_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_heated_wounded,observations above 4/n Cook's threshold,2,NA,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_heated_wounded_lm_diagnostics.png
lmrob_growth_by_new_corallites_all_wounded,minimum robustness weight,0.5846195752333486,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_all_wounded,observations with robustness weight < 0.5,0,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_all_wounded,robust LM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_heated_wounded,minimum robustness weight,0.28799831339399296,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_heated_wounded,observations with robustness weight < 0.5,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_heated_wounded,robust LM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_all_wounded,minimum robustness weight,0.29507674547527357,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_all_wounded,observations with robustness weight < 0.5,2,NA,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_all_wounded,robust LM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_heated_wounded,minimum robustness weight,0.8375376022665797,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_heated_wounded,observations with robustness weight < 0.5,0,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_heated_wounded,robust LM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_heated_wounded_lmrob_diagnostics.png
