row,col,expected,actual,file
41,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
43,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
45,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
47,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
49,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
51,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
53,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
55,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
57,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
59,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
61,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
63,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
65,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
67,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
69,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
71,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
73,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
75,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
77,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
79,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
81,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
83,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
85,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
87,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
89,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
91,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
93,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
95,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
97,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
99,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
101,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
103,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
105,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
107,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
109,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
111,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
113,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
115,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
117,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
119,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
121,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
123,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
125,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
127,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
129,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
131,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
133,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
135,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
137,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
139,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
141,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
143,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
145,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
147,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
149,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
151,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
153,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
155,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
157,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
159,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
161,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
163,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
165,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
167,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
169,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
171,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
173,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
175,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
177,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
179,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
181,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
183,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
185,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
187,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
189,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
191,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
193,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
195,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
196,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
197,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
198,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
199,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
200,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
201,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
202,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
203,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
204,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
205,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
206,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
207,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
208,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
209,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
210,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
211,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
212,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
213,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
214,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
215,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
216,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
217,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
218,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
219,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
220,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
221,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
222,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
223,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
224,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
225,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
227,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
228,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
229,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
230,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
231,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
232,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
233,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
234,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
235,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
236,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
237,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
238,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
239,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
240,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
241,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
242,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
243,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
244,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
245,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
246,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
247,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
248,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
249,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
250,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
251,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
252,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
253,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
254,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
255,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
256,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
257,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
258,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
259,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
260,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
261,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
262,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
263,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
264,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
265,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
266,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
267,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
268,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
269,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
270,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
271,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
272,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
273,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
274,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
275,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
276,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
277,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
278,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
279,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
280,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
281,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
282,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
283,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
284,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
285,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
286,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
287,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
288,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
289,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
290,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
291,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
292,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
293,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
294,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
295,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
296,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
297,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
298,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
299,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
300,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
301,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
302,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
303,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
304,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
305,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
306,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
307,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
308,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
309,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
310,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
311,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
312,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
313,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
314,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
315,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
316,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
317,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
318,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
319,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
320,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
321,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
322,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
323,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
324,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
325,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
326,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
327,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
328,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
