model,omitted_id,omitted_event_status,omitted_growth,estimate,p_value,status
lm_growth_by_new_corallites_all_wounded,118,yes,8.178484581362065,0.9616701256804543,0.26485405905064063,estimated
lm_growth_by_new_corallites_all_wounded,144,yes,7.376476741352455,0.9809375812963008,0.2831738648717182,estimated
lm_growth_by_new_corallites_heated_wounded,175,no,2.668216197914724,-0.21731782704580552,0.28990111828741894,estimated
lm_growth_by_new_corallites_heated_wounded,149,yes,3.4057234862932484,-0.41692133364617223,0.46571169584291194,estimated
lm_growth_by_new_corallites_heated_wounded,143,no,3.453773772224109,-0.22192133555513802,0.5970006711116236,estimated
lm_growth_by_new_corallites_heated_wounded,115,yes,4.489527323353529,-0.18445937984220043,0.6565927614872166,estimated
lm_growth_by_new_corallites_heated_wounded,174,no,3.6010396776230116,-0.21731782704580413,0.594247392415344,estimated
lm_growth_by_new_corallites_heated_wounded,110,no,3.4129230353156794,-0.23153327365123869,0.5810224239040004,estimated
lm_growth_by_new_corallites_heated_wounded,126,no,3.4036166126762666,-0.23372302015463003,0.5773331158555359,estimated
lm_growth_by_new_corallites_heated_wounded,170,no,3.8549361153135693,-0.2173178270458042,0.5859306675165186,estimated
lm_growth_by_new_corallites_heated_wounded,119,yes,4.640235101543025,-0.21992003353384698,0.6002858226542103,estimated
lm_growth_by_new_corallites_heated_wounded,116,no,4.996196180964925,-0.017714320445436985,0.9747688076410095,estimated
lm_growth_by_new_corallites_heated_wounded,133,yes,4.608062117059705,-0.21234991953777163,0.6125932102005176,estimated
lm_growth_by_new_corallites_heated_wounded,152,no,4.367114404199804,-0.2173178270458042,0.47113373291451044,estimated
lm_growth_by_tip_extension_all_wounded,129,yes,2.771803270813767,1.2091115310906064,0.05021989337035506,estimated
lm_growth_by_tip_extension_all_wounded,175,no,2.668216197914724,0.9597304737918447,0.2643614726385007,estimated
lm_growth_by_tip_extension_all_wounded,149,yes,3.4057234862932484,1.2866667801292737,0.09552799307597033,estimated
lm_growth_by_tip_extension_all_wounded,121,no,4.648325454303104,1.1579611734398454,0.21917435805071767,estimated
lm_growth_by_tip_extension_all_wounded,143,no,3.453773772224109,1.245160916210695,0.1371301286297018,estimated
lm_growth_by_tip_extension_all_wounded,115,yes,4.489527323353529,1.1140389519470744,0.1446999985705754,estimated
lm_growth_by_tip_extension_all_wounded,174,yes,3.6010396776230116,1.218997947157319,0.11107876346015275,estimated
lm_growth_by_tip_extension_all_wounded,113,yes,3.761862441568305,1.3208417580419727,0.05231148328359952,estimated
lm_growth_by_tip_extension_all_wounded,110,yes,3.4129230353156794,1.2856905700923336,0.09585188885937,estimated
lm_growth_by_tip_extension_all_wounded,126,no,3.4036166126762666,1.229425336744705,0.14209210809880293,estimated
lm_growth_by_tip_extension_all_wounded,170,yes,3.8549361153135693,1.1980580347704683,0.11908353205557533,estimated
lm_growth_by_tip_extension_all_wounded,119,yes,4.640235101543025,1.1016094444675284,0.1474452247818508,estimated
lm_growth_by_tip_extension_all_wounded,116,yes,4.996196180964925,1.0722518296698453,0.15265445827097454,estimated
lm_growth_by_tip_extension_all_wounded,133,yes,4.608062117059705,1.104262886486771,0.14688486340825224,estimated
lm_growth_by_tip_extension_all_wounded,117,yes,5.0948772445448745,1.1714145903404058,0.12193749191561742,estimated
lm_growth_by_tip_extension_all_wounded,152,yes,4.367114404199804,1.1558165264087172,0.13338589250910007,estimated
lm_growth_by_tip_extension_all_wounded,130,yes,6.575445735984332,1.1473891381466623,0.12874490257331253,estimated
lm_growth_by_tip_extension_all_wounded,172,yes,5.851091397541983,1.1653768786681393,0.1266228210044444,estimated
lm_growth_by_tip_extension_all_wounded,177,yes,6.278958365877883,1.1584338041312485,0.12957240540566956,estimated
lm_growth_by_tip_extension_all_wounded,166,yes,6.734446431734614,1.1510425170585228,0.12978616346578217,estimated
lm_growth_by_tip_extension_all_wounded,146,yes,6.924959191475062,1.1134255777202184,0.1422457211403733,estimated
lm_growth_by_tip_extension_all_wounded,179,yes,7.541791207911265,1.1379415876276646,0.12236461726234688,estimated
lm_growth_by_tip_extension_all_wounded,118,yes,8.178484581362065,1.0312271914981197,0.14264293948397008,estimated
lm_growth_by_tip_extension_all_wounded,144,yes,7.376476741352455,1.0838178695315366,0.14562396282600032,estimated
lm_growth_by_tip_extension_heated_wounded,175,no,2.668216197914724,-0.01937193164572482,0.9411575602056568,estimated
lm_growth_by_tip_extension_heated_wounded,149,yes,3.4057234862932484,0.6664204443000349,0.07801918739795413,estimated
lm_growth_by_tip_extension_heated_wounded,143,no,3.453773772224109,0.6765281173648371,0.07220450934097276,estimated
lm_growth_by_tip_extension_heated_wounded,115,yes,4.489527323353529,0.534421982401332,0.11968652319682546,estimated
lm_growth_by_tip_extension_heated_wounded,174,yes,3.6010396776230116,0.5655004657493509,0.11213123732548935,estimated
lm_growth_by_tip_extension_heated_wounded,110,yes,3.4129230353156794,0.6630324212306544,0.07999812363171573,estimated
lm_growth_by_tip_extension_heated_wounded,126,no,3.4036166126762666,0.652924748165852,0.08598602544740372,estimated
lm_growth_by_tip_extension_heated_wounded,170,yes,3.8549361153135693,0.5147211782112389,0.1452523154291028,estimated
lm_growth_by_tip_extension_heated_wounded,119,yes,4.640235101543025,0.5344219824013318,0.12627759562781038,estimated
lm_growth_by_tip_extension_heated_wounded,116,yes,4.996196180964925,0.5344219824013307,0.1084354888999245,estimated
lm_growth_by_tip_extension_heated_wounded,133,yes,4.608062117059705,0.534421982401331,0.1255772512934543,estimated
lm_growth_by_tip_extension_heated_wounded,152,yes,4.367114404199804,0.41228552043399214,0.12231539331247848,estimated
